,Social Explorer - ACS 2019 (5-Year Estimates),,,,,,,,,,,,
Statistics,TOTAL (All Selected Census Tracts),,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"9,455",,,,,,,,,,,,
Under 5 Years,481,,,,,,,,,,,,
5 to 9 Years,618,,,,,,,,,,,,
10 to 14 Years,653,,,,,,,,,,,,
15 to 17 Years,548,,,,,,,,,,,,
18 to 24 Years,789,,,,,,,,,,,,
25 to 34 Years,"1,222",,,,,,,,,,,,
35 to 44 Years,"1,028",,,,,,,,,,,,
45 to 54 Years,"1,316",,,,,,,,,,,,
55 to 64 Years,"1,306",,,,,,,,,,,,
65 to 74 Years,857,,,,,,,,,,,,
75 to 84 Years,442,,,,,,,,,,,,
85 Years and Over,195,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"9,455",,,,,,,,,,,,
White Alone,681,,,,,,,,,,,,
Black or African American Alone,"8,691",,,,,,,,,,,,
American Indian and Alaska Native Alone,0,,,,,,,,,,,,
Asian Alone,0,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,8,,,,,,,,,,,,
Some Other Race Alone,6,,,,,,,,,,,,
Two or More Races,69,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"6,366",,,,,,,,,,,,
Less than High School,"1,352",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"2,168",,,,,,,,,,,,
Some College,"2,180",,,,,,,,,,,,
Bachelor's Degree,431,,,,,,,,,,,,
Master's Degree,154,,,,,,,,,,,,
Professional School Degree,50,,,,,,,,,,,,
Doctorate Degree,31,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"2,293",,,,,,,,,,,,
Living in Poverty,"1,211",,,,,,,,,,,,
At or Above Poverty Level,"1,082",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"5,621",,,,,,,,,,,,
Living in Poverty,"1,881",,,,,,,,,,,,
At or Above Poverty Level,"3,740",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"1,409",,,,,,,,,,,,
Living in Poverty,296,,,,,,,,,,,,
At or Above Poverty Level,"1,113",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
