label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"14,277",,,,,,,,,,,,
Under 5 Years,"1,130",,,,,,,,,,,,
5 to 9 Years,568,,,,,,,,,,,,
10 to 14 Years,396,,,,,,,,,,,,
15 to 17 Years,213,,,,,,,,,,,,
18 to 24 Years,817,,,,,,,,,,,,
25 to 34 Years,"4,023",,,,,,,,,,,,
35 to 44 Years,"2,131",,,,,,,,,,,,
45 to 54 Years,"1,506",,,,,,,,,,,,
55 to 64 Years,"1,835",,,,,,,,,,,,
65 to 74 Years,990,,,,,,,,,,,,
75 to 84 Years,440,,,,,,,,,,,,
85 Years and Over,228,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"14,277",,,,,,,,,,,,
White Alone,"9,945",,,,,,,,,,,,
Black or African American Alone,"3,295",,,,,,,,,,,,
American Indian and Alaska Native Alone,0,,,,,,,,,,,,
Asian Alone,500,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,0,,,,,,,,,,,,
Some Other Race Alone,76,,,,,,,,,,,,
Two or More Races,461,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"11,153",,,,,,,,,,,,
Less than High School,769,,,,,,,,,,,,
High School Graduate (Includes Equivalency),"1,779",,,,,,,,,,,,
Some College,"2,641",,,,,,,,,,,,
Bachelor's Degree,"3,212",,,,,,,,,,,,
Master's Degree,"1,916",,,,,,,,,,,,
Professional School Degree,521,,,,,,,,,,,,
Doctorate Degree,315,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"2,306",,,,,,,,,,,,
Living in Poverty,241,,,,,,,,,,,,
At or Above Poverty Level,"2,065",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"10,312",,,,,,,,,,,,
Living in Poverty,"1,432",,,,,,,,,,,,
At or Above Poverty Level,"8,880",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"1,658",,,,,,,,,,,,
Living in Poverty,195,,,,,,,,,,,,
At or Above Poverty Level,"1,463",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
